 strength = semiamplitude of R in solar mass,au,day
  pla  |p+q|:|p|     a(au)      e     i     argper        <R>      strength                   
    1    1    1    59.423356   0.91  11.97  36.97    1.3730E-02    1.0524E-02
    1    2    1    37.434368   0.91  11.97  36.97    1.9385E-02    5.4574E-03
    1    3    2    45.348508   0.91  11.97  36.97    1.7025E-02    2.2616E-03
    1    4    3    49.052899   0.91  11.97  36.97    1.6032E-02    7.1998E-04
    1    5    4    51.209496   0.91  11.97  36.97    1.5499E-02    9.0414E-04
    1    6    5    52.622282   0.91  11.97  36.97    1.5167E-02    7.0727E-04
    1    7    6    53.619898   0.91  11.97  36.97    1.4940E-02    2.7848E-04
    1    8    7    54.362056   0.91  11.97  36.97    1.4776E-02    4.0842E-04
    1    9    8    54.935805   0.91  11.97  36.97    1.4652E-02    3.4449E-04
    1   10    9    55.392655   0.91  11.97  36.97    1.4554E-02    1.7745E-04
    1   11   10    55.765044   0.91  11.97  36.97    1.4475E-02    2.3870E-04
    1   12   11    56.074421   0.91  11.97  36.97    1.4410E-02    2.0060E-04
    1   13   12    56.335537   0.91  11.97  36.97    1.4356E-02    1.3637E-04
    1   14   13    56.558869   0.91  11.97  36.97    1.4310E-02    1.5651E-04
    1   15   14    56.752068   0.91  11.97  36.97    1.4270E-02    1.3031E-04
    1   16   15    56.920847   0.91  11.97  36.97    1.4236E-02    1.0448E-04
    1   17   16    57.069563   0.91  11.97  36.97    1.4205E-02    1.0859E-04
    1   18   17    57.201592   0.91  11.97  36.97    1.4179E-02    9.1889E-05
    1   19   18    57.319594   0.91  11.97  36.97    1.4155E-02    8.0265E-05
    1   20   19    57.425693   0.91  11.97  36.97    1.4134E-02    7.8750E-05
    1   21   20    57.521602   0.91  11.97  36.97    1.4115E-02    6.8073E-05
    1   22   21    57.608723   0.91  11.97  36.97    1.4097E-02    6.1377E-05
    1   23   22    57.688211   0.91  11.97  36.97    1.4082E-02    5.9013E-05
    1   24   23    57.761026   0.91  11.97  36.97    1.4067E-02    5.1676E-05
    1   25   24    57.827976   0.91  11.97  36.97    1.4053E-02    4.7590E-05
    1   26   25    57.889742   0.91  11.97  36.97    1.4041E-02    4.4356E-05
    1   27   26    57.946903   0.91  11.97  36.97    1.4030E-02    3.9814E-05
    1   28   27    57.999956   0.91  11.97  36.97    1.4020E-02    3.7497E-05
