 strength = semiamplitude of R in solar mass,au,day
  pla  |p+q|:|p|     a(au)      e     i     argper        <R>      strength                   
    1    1    1    59.423356   0.64  27.36  54.88    1.4635E-02    1.0532E-02
    1    2    1    37.434368   0.64  27.36  54.88    1.7376E-02    3.8502E-03
    1    3    2    45.348508   0.64  27.36  54.88    1.6597E-02    1.4282E-03
    1    4    3    49.052899   0.64  27.36  54.88    1.6108E-02    1.0167E-03
    1    5    4    51.209496   0.64  27.36  54.88    1.5810E-02    7.7205E-04
    1    6    5    52.622282   0.64  27.36  54.88    1.5613E-02    5.1836E-04
    1    7    6    53.619898   0.64  27.36  54.88    1.5473E-02    4.9204E-04
    1    8    7    54.362056   0.64  27.36  54.88    1.5370E-02    3.7003E-04
    1    9    8    54.935805   0.64  27.36  54.88    1.5290E-02    3.4039E-04
    1   10    9    55.392655   0.64  27.36  54.88    1.5226E-02    2.8654E-04
    1   11   10    55.765044   0.64  27.36  54.88    1.5175E-02    2.5368E-04
    1   12   11    56.074421   0.64  27.36  54.88    1.5132E-02    2.2664E-04
    1   13   12    56.335537   0.64  27.36  54.88    1.5096E-02    2.0079E-04
    1   14   13    56.558869   0.64  27.36  54.88    1.5065E-02    1.8177E-04
    1   15   14    56.752068   0.64  27.36  54.88    1.5039E-02    1.6381E-04
    1   16   15    56.920847   0.64  27.36  54.88    1.5016E-02    1.4921E-04
    1   17   16    57.069563   0.64  27.36  54.88    1.4995E-02    1.3584E-04
    1   18   17    57.201592   0.64  27.36  54.88    1.4977E-02    1.2456E-04
    1   19   18    57.319594   0.64  27.36  54.88    1.4961E-02    1.1441E-04
    1   20   19    57.425693   0.64  27.36  54.88    1.4946E-02    1.0524E-04
    1   21   20    57.521602   0.64  27.36  54.88    1.4933E-02    9.7343E-05
    1   22   21    57.608723   0.64  27.36  54.88    1.4921E-02    8.9893E-05
    1   23   22    57.688211   0.64  27.36  54.88    1.4911E-02    8.3466E-05
    1   24   23    57.761026   0.64  27.36  54.88    1.4901E-02    7.7560E-05
    1   25   24    57.827976   0.64  27.36  54.88    1.4891E-02    7.1984E-05
    1   26   25    57.889742   0.64  27.36  54.88    1.4883E-02    6.7258E-05
    1   27   26    57.946903   0.64  27.36  54.88    1.4875E-02    6.2834E-05
    1   28   27    57.999956   0.64  27.36  54.88    1.4868E-02    5.8635E-05
    1   29   28    58.049328   0.64  27.36  54.88    1.4861E-02    5.4834E-05
    1   30   29    58.095390   0.64  27.36  54.88    1.4855E-02    5.1452E-05
    1   31   30    58.138463   0.64  27.36  54.88    1.4849E-02    4.8299E-05
    1   32   31    58.178830   0.64  27.36  54.88    1.4844E-02    4.5284E-05
    1   33   32    58.216738   0.64  27.36  54.88    1.4839E-02    4.2608E-05
    1   34   33    58.252404   0.64  27.36  54.88    1.4834E-02    3.9883E-05
    1   35   34    58.286023   0.64  27.36  54.88    1.4829E-02    3.7846E-05
    1   36   35    58.317765   0.64  27.36  54.88    1.4825E-02    3.5287E-05
    1   37   36    58.347783   0.64  27.36  54.88    1.4821E-02    3.3389E-05
    1   38   37    58.376214   0.64  27.36  54.88    1.4817E-02    3.1664E-05
    1   39   38    58.403181   0.64  27.36  54.88    1.4813E-02    2.9615E-05
    1   40   39    58.428793   0.64  27.36  54.88    1.4810E-02    2.8282E-05
    1   41   40    58.453151   0.64  27.36  54.88    1.4807E-02    2.6626E-05
    1   42   41    58.476345   0.64  27.36  54.88    1.4803E-02    2.4910E-05
    1   43   42    58.498455   0.64  27.36  54.88    1.4801E-02    2.3920E-05
    1   44   43    58.519556   0.64  27.36  54.88    1.4798E-02    2.2372E-05
    1   45   44    58.539716   0.64  27.36  54.88    1.4795E-02    2.1312E-05
    1   46   45    58.558997   0.64  27.36  54.88    1.4793E-02    2.0477E-05
    1   47   46    58.577454   0.64  27.36  54.88    1.4790E-02    1.8853E-05
    1   48   47    58.595139   0.64  27.36  54.88    1.4788E-02    1.8306E-05
    1   49   48    58.612099   0.64  27.36  54.88    1.4785E-02    1.7120E-05
    1   50   49    58.628379   0.64  27.36  54.88    1.4783E-02    1.6169E-05
    1   51   50    58.644019   0.64  27.36  54.88    1.4781E-02    1.5750E-05
    1   52   51    58.659055   0.64  27.36  54.88    1.4779E-02    1.4379E-05
    1   53   52    58.673522   0.64  27.36  54.88    1.4777E-02    1.4153E-05
    1   54   53    58.687451   0.64  27.36  54.88    1.4775E-02    1.3260E-05
    1   55   54    58.700872   0.64  27.36  54.88    1.4773E-02    1.2433E-05
    1   56   55    58.713812   0.64  27.36  54.88    1.4771E-02    1.2122E-05
    1   57   56    58.726297   0.64  27.36  54.88    1.4769E-02    1.1021E-05
    1   58   57    58.738351   0.64  27.36  54.88    1.4768E-02    1.1081E-05
    1   59   58    58.749994   0.64  27.36  54.88    1.4767E-02    1.0389E-05
    1   60   59    58.761248   0.64  27.36  54.88    1.4765E-02    9.7527E-06
    1   61   60    58.772133   0.64  27.36  54.88    1.4763E-02    9.3804E-06
    1   62   61    58.782665   0.64  27.36  54.88    1.4762E-02    8.4964E-06
    1   63   62    58.792862   0.64  27.36  54.88    1.4761E-02    8.7153E-06
    1   64   63    58.802739   0.64  27.36  54.88    1.4760E-02    8.2399E-06
    1   65   64    58.812312   0.64  27.36  54.88    1.4758E-02    7.7942E-06
    1   66   65    58.821594   0.64  27.36  54.88    1.4757E-02    7.2969E-06
